bsa_rank_requirements
rank,requirement_number,category,description,keywords,,,,,,
Scout,1a,Scout Knowledge,Repeat from memory the Scout Oath Scout Law Scout motto and Scout slogan. In your own words explain their meaning.,scout oath,scout law,motto,slogan,memorization,values,
Scout,1b,Scout Spirit,Explain what Scout spirit is. Describe some ways you have shown Scout spirit by practicing the Scout Oath Scout Law Scout motto and Scout slogan.,scout spirit,oath,law,motto,slogan,character,values
Scout,1c,Scout Knowledge,Demonstrate the Scout sign salute and handshake. Explain when they should be used.,scout sign,salute,handshake,traditions,customs,,
Scout,1d,Scout Knowledge,Describe the First Class Scout badge and tell what each part stands for. Explain the significance of the First Class Scout badge.,badge,symbols,first class,meaning,significance,,
Scout,1e,Outdoor Ethics,Repeat from memory the Outdoor Code. List the Leave No Trace Seven Principles. Explain the difference between the two.,outdoor code,leave no trace,principles,conservation,ethics,memorization,
Scout,1f,Citizenship,Repeat from memory the Pledge of Allegiance. In your own words explain its meaning.,pledge of allegiance,citizenship,patriotism,memorization,,,
Scout,2a,Troop Leadership,Describe how the Scouts in the troop provide its leadership.,leadership,troop,patrol,organization,,,
Scout,2b,Advancement,Describe the four steps of Scout advancement.,advancement,ranks,progression,requirements,,,
Scout,2c,Advancement,Describe what the Scouts BSA ranks are and how they are earned.,ranks,advancement,progression,requirements,,,
Scout,2d,Advancement,Describe what merit badges are and how they are earned.,merit badges,advancement,skills,counselor,,,
Scout,3a,Patrol Method,Explain the patrol method. Describe the types of patrols that are used in your troop.,patrol method,patrols,organization,teamwork,,,
Scout,3b,Patrol Spirit,Become familiar with your patrol name emblem flag and yell. Explain how these items create patrol spirit.,patrol,spirit,identity,teamwork,unity,,
Scout,4a,Pioneering,Show how to tie a square knot two half-hitches and a taut-line hitch. Explain how each knot is used.,knots,square knot,half-hitches,taut-line hitch,rope work,,
Scout,4b,Pioneering,Show the proper care of a rope by learning how to whip and fuse the ends of different kinds of rope.,rope care,whipping,fusing,rope maintenance,,,
Scout,5,Tools,Tell what you need to know about pocketknife safety and responsibility.,pocketknife,safety,tools,responsibility,,,
Scout,6,Personal Safety,With your parent or guardian complete the exercises in the pamphlet How to Protect Your Children From Child Abuse: A Parent's Guide and view the Personal Safety Awareness videos.,personal safety,child abuse prevention,safety awareness,family,,,
Tenderfoot,1a,Camping,Present yourself to your leader prepared for an overnight camping trip. Show the personal and camping gear you will use. Show the right way to pack and carry it.,camping gear,packing,preparation,equipment,,,
Tenderfoot,1b,Camping,Spend at least one night on a patrol or troop campout. Sleep in a tent you have helped pitch.,camping,overnight,tent,outdoor experience,,,
Tenderfoot,1c,Outdoor Ethics,Explain how you demonstrated the Outdoor Code and Leave No Trace on campouts or outings.,outdoor code,leave no trace,conservation,ethics,,,
Tenderfoot,2a,Cooking,On the campout assist in preparing one of the meals. Tell why it is important for each patrol member to share in meal preparation and cleanup.,cooking,meals,teamwork,patrol duties,,,
Tenderfoot,2b,Camping,While on a campout demonstrate the appropriate method of safely cleaning items used to prepare serve and eat a meal.,cleaning,sanitation,camping,hygiene,,,
Tenderfoot,2c,Camping,Explain the importance of eating together as a patrol.,patrol meals,teamwork,unity,fellowship,,,
Tenderfoot,3a,Pioneering,Demonstrate a practical use of the square knot.,square knot,knots,rope work,practical skills,,,
Tenderfoot,3b,Pioneering,Demonstrate a practical use of two half-hitches.,half-hitches,knots,rope work,practical skills,,,
Tenderfoot,3c,Pioneering,Demonstrate a practical use of the taut-line hitch.,taut-line hitch,knots,rope work,practical skills,,,
Tenderfoot,3d,Tools,Demonstrate proper care sharpening and use of the knife saw and ax. Describe when each should be used.,knife,saw,ax,tools,safety,sharpening,
Tenderfoot,4a,First Aid,Show first aid for simple cuts and scrapes; blisters on the hand and foot; minor thermal/heat burns or scalds (superficial or first-degree); bites or stings of insects and ticks; venomous snakebite; nosebleed; frostbite and sunburn; choking.,first aid,cuts,burns,bites,stings,choking,medical
Tenderfoot,4b,Nature,Describe common poisonous or hazardous plants; identify any that grow in your local area or campsite location. Tell how to treat for exposure to them.,poisonous plants,hazardous plants,identification,nature,treatment,,
Tenderfoot,4c,Safety,Tell what you can do while on a campout or other outdoor activity to prevent or reduce the occurrence of injuries or exposure listed in Tenderfoot requirements 4a and 4b.,injury prevention,safety,outdoor safety,risk management,,,
Tenderfoot,4d,First Aid,Assemble a personal first-aid kit to carry with you on future campouts and hikes. Tell how each item in the kit would be used.,first aid kit,medical supplies,preparation,camping,,,
Tenderfoot,5a,Safety,Explain the importance of the buddy system as it relates to your personal safety on outings and where you live. Use the buddy system while on a troop or patrol outing.,buddy system,safety,teamwork,protection,,,
Tenderfoot,5b,Safety,Describe what to do if you become lost on a hike or campout.,lost procedures,safety,emergency,outdoor skills,,,
Tenderfoot,5c,Hiking,Explain the rules of safe and responsible hiking both on the highway and cross-country during the day and at night.,hiking safety,responsible hiking,highway safety,outdoor safety,,,
Tenderfoot,5d,Outdoor Ethics,Explain why it is important to hike on trails or other durable surfaces and give examples of durable surfaces you saw on your outing.,trails,durable surfaces,leave no trace,conservation,,,
